level,item,status,reason
mouse,fat,通过,6只小鼠，3个年龄层
tissue,fat,通过,保留8个细胞类型
expression,fat,通过,保留原始counts
mouse,liver,通过,12只小鼠，6个年龄层
tissue,liver,通过,保留8个细胞类型
expression,liver,通过,保留原始counts
mouse,lung,通过,16只小鼠，5个年龄层
tissue,lung,通过,保留29个细胞类型
expression,lung,通过,保留原始counts
mouse,marrow,通过,17只小鼠，6个年龄层
tissue,marrow,通过,保留18个细胞类型
expression,marrow,通过,保留原始counts
mouse,spleen,通过,13只小鼠，6个年龄层
tissue,spleen,通过,保留12个细胞类型
expression,spleen,通过,保留原始counts
mouse,kidney,通过,16只小鼠，6个年龄层
tissue,kidney,通过,保留22个细胞类型
expression,kidney,通过,保留原始counts
mouse,heart_and_aorta,通过,11只小鼠，6个年龄层
tissue,heart_and_aorta,通过,保留9个细胞类型
expression,heart_and_aorta,通过,保留原始counts
