field	dtype	n_unique	missing_count
age	category	6	0
cell	object	7784	0
cell_ontology_class	category	4	0
cell_ontology_id	category	9	0
free_annotation	category	2	0
method	category	1	0
mouse.id	category	19	0
n_genes	float64	3279	1114
sex	category	2	0
subtissue	category	4	0
tissue	category	1	0
tissue_free_annotation	category	2	0
n_counts	float32	6608	0
louvain	category	14	0
leiden	category	15	0
mouse_id_std	category	19	0
tissue_std	category	1	0
cell_type_original	category	4	0
age_months	float64	6	0
age_group	category	3	0
cell_id	object	7784	0
