tissue,mouse_id,age_months,sex,n_cells
fat,18-F-50,18m,female,1459
fat,18-F-50,18m,male,0
fat,18-F-50,21m,female,0
fat,18-F-50,21m,male,0
fat,18-F-50,30m,female,0
fat,18-F-50,30m,male,0
fat,18-M-52,18m,female,0
fat,18-M-52,18m,male,2066
fat,18-M-52,21m,female,0
fat,18-M-52,21m,male,0
fat,18-M-52,30m,female,0
fat,18-M-52,30m,male,0
fat,18-M-53,18m,female,0
fat,18-M-53,18m,male,443
fat,18-M-53,21m,female,0
fat,18-M-53,21m,male,0
fat,18-M-53,30m,female,0
fat,18-M-53,30m,male,0
fat,21-F-54,18m,female,0
fat,21-F-54,18m,male,0
fat,21-F-54,21m,female,416
fat,21-F-54,21m,male,0
fat,21-F-54,30m,female,0
fat,21-F-54,30m,male,0
fat,21-F-55,18m,female,0
fat,21-F-55,18m,male,0
fat,21-F-55,21m,female,378
fat,21-F-55,21m,male,0
fat,21-F-55,30m,female,0
fat,21-F-55,30m,male,0
fat,30-M-5,18m,female,0
fat,30-M-5,18m,male,0
fat,30-M-5,21m,female,0
fat,30-M-5,21m,male,0
fat,30-M-5,30m,female,0
fat,30-M-5,30m,male,2015
liver,1-M-62,1m,female,0
liver,1-M-62,1m,male,471
liver,1-M-62,3m,female,0
liver,1-M-62,3m,male,0
liver,1-M-62,18m,female,0
liver,1-M-62,18m,male,0
liver,1-M-62,21m,female,0
liver,1-M-62,21m,male,0
liver,1-M-62,24m,female,0
liver,1-M-62,24m,male,0
liver,1-M-62,30m,female,0
liver,1-M-62,30m,male,0
liver,1-M-63,1m,female,0
liver,1-M-63,1m,male,2320
liver,1-M-63,3m,female,0
liver,1-M-63,3m,male,0
liver,1-M-63,18m,female,0
liver,1-M-63,18m,male,0
liver,1-M-63,21m,female,0
liver,1-M-63,21m,male,0
liver,1-M-63,24m,female,0
liver,1-M-63,24m,male,0
liver,1-M-63,30m,female,0
liver,1-M-63,30m,male,0
liver,3-F-56,1m,female,0
liver,3-F-56,1m,male,0
liver,3-F-56,3m,female,387
liver,3-F-56,3m,male,0
liver,3-F-56,18m,female,0
liver,3-F-56,18m,male,0
liver,3-F-56,21m,female,0
liver,3-F-56,21m,male,0
liver,3-F-56,24m,female,0
liver,3-F-56,24m,male,0
liver,3-F-56,30m,female,0
liver,3-F-56,30m,male,0
liver,3-F-57,1m,female,0
liver,3-F-57,1m,male,0
liver,3-F-57,3m,female,179
liver,3-F-57,3m,male,0
liver,3-F-57,18m,female,0
liver,3-F-57,18m,male,0
liver,3-F-57,21m,female,0
liver,3-F-57,21m,male,0
liver,3-F-57,24m,female,0
liver,3-F-57,24m,male,0
liver,3-F-57,30m,female,0
liver,3-F-57,30m,male,0
liver,3-M-8/9,1m,female,0
liver,3-M-8/9,1m,male,0
liver,3-M-8/9,3m,female,0
liver,3-M-8/9,3m,male,460
liver,3-M-8/9,18m,female,0
liver,3-M-8/9,18m,male,0
liver,3-M-8/9,21m,female,0
liver,3-M-8/9,21m,male,0
liver,3-M-8/9,24m,female,0
liver,3-M-8/9,24m,male,0
liver,3-M-8/9,30m,female,0
liver,3-M-8/9,30m,male,0
liver,18-F-51,1m,female,0
liver,18-F-51,1m,male,0
liver,18-F-51,3m,female,0
liver,18-F-51,3m,male,0
liver,18-F-51,18m,female,698
liver,18-F-51,18m,male,0
liver,18-F-51,21m,female,0
liver,18-F-51,21m,male,0
liver,18-F-51,24m,female,0
liver,18-F-51,24m,male,0
liver,18-F-51,30m,female,0
liver,18-F-51,30m,male,0
liver,21-F-54,1m,female,0
liver,21-F-54,1m,male,0
liver,21-F-54,3m,female,0
liver,21-F-54,3m,male,0
liver,21-F-54,18m,female,0
liver,21-F-54,18m,male,0
liver,21-F-54,21m,female,367
liver,21-F-54,21m,male,0
liver,21-F-54,24m,female,0
liver,21-F-54,24m,male,0
liver,21-F-54,30m,female,0
liver,21-F-54,30m,male,0
liver,24-M-58,1m,female,0
liver,24-M-58,1m,male,0
liver,24-M-58,3m,female,0
liver,24-M-58,3m,male,0
liver,24-M-58,18m,female,0
liver,24-M-58,18m,male,0
liver,24-M-58,21m,female,0
liver,24-M-58,21m,male,0
liver,24-M-58,24m,female,0
liver,24-M-58,24m,male,76
liver,24-M-58,30m,female,0
liver,24-M-58,30m,male,0
liver,24-M-59,1m,female,0
liver,24-M-59,1m,male,0
liver,24-M-59,3m,female,0
liver,24-M-59,3m,male,0
liver,24-M-59,18m,female,0
liver,24-M-59,18m,male,0
liver,24-M-59,21m,female,0
liver,24-M-59,21m,male,0
liver,24-M-59,24m,female,0
liver,24-M-59,24m,male,43
liver,24-M-59,30m,female,0
liver,24-M-59,30m,male,0
liver,30-M-3,1m,female,0
liver,30-M-3,1m,male,0
liver,30-M-3,3m,female,0
liver,30-M-3,3m,male,0
liver,30-M-3,18m,female,0
liver,30-M-3,18m,male,0
liver,30-M-3,21m,female,0
liver,30-M-3,21m,male,0
liver,30-M-3,24m,female,0
liver,30-M-3,24m,male,0
liver,30-M-3,30m,female,0
liver,30-M-3,30m,male,1885
liver,30-M-4,1m,female,0
liver,30-M-4,1m,male,0
liver,30-M-4,3m,female,0
liver,30-M-4,3m,male,0
liver,30-M-4,18m,female,0
liver,30-M-4,18m,male,0
liver,30-M-4,21m,female,0
liver,30-M-4,21m,male,0
liver,30-M-4,24m,female,0
liver,30-M-4,24m,male,0
liver,30-M-4,30m,female,0
liver,30-M-4,30m,male,46
liver,30-M-5,1m,female,0
liver,30-M-5,1m,male,0
liver,30-M-5,3m,female,0
liver,30-M-5,3m,male,0
liver,30-M-5,18m,female,0
liver,30-M-5,18m,male,0
liver,30-M-5,21m,female,0
liver,30-M-5,21m,male,0
liver,30-M-5,24m,female,0
liver,30-M-5,24m,male,0
liver,30-M-5,30m,female,0
liver,30-M-5,30m,male,362
lung,1-M-62,1m,female,0
lung,1-M-62,1m,male,1078
lung,1-M-62,3m,female,0
lung,1-M-62,3m,male,0
lung,1-M-62,18m,female,0
lung,1-M-62,18m,male,0
lung,1-M-62,21m,female,0
lung,1-M-62,21m,male,0
lung,1-M-62,30m,female,0
lung,1-M-62,30m,male,0
lung,1-M-63,1m,female,0
lung,1-M-63,1m,male,1430
lung,1-M-63,3m,female,0
lung,1-M-63,3m,male,0
lung,1-M-63,18m,female,0
lung,1-M-63,18m,male,0
lung,1-M-63,21m,female,0
lung,1-M-63,21m,male,0
lung,1-M-63,30m,female,0
lung,1-M-63,30m,male,0
lung,3-F-56,1m,female,0
lung,3-F-56,1m,male,0
lung,3-F-56,3m,female,362
lung,3-F-56,3m,male,0
lung,3-F-56,18m,female,0
lung,3-F-56,18m,male,0
lung,3-F-56,21m,female,0
lung,3-F-56,21m,male,0
lung,3-F-56,30m,female,0
lung,3-F-56,30m,male,0
lung,3-F-57,1m,female,0
lung,3-F-57,1m,male,0
lung,3-F-57,3m,female,1001
lung,3-F-57,3m,male,0
lung,3-F-57,18m,female,0
lung,3-F-57,18m,male,0
lung,3-F-57,21m,female,0
lung,3-F-57,21m,male,0
lung,3-F-57,30m,female,0
lung,3-F-57,30m,male,0
lung,3-M-5/6,1m,female,0
lung,3-M-5/6,1m,male,0
lung,3-M-5/6,3m,female,0
lung,3-M-5/6,3m,male,587
lung,3-M-5/6,18m,female,0
lung,3-M-5/6,18m,male,0
lung,3-M-5/6,21m,female,0
lung,3-M-5/6,21m,male,0
lung,3-M-5/6,30m,female,0
lung,3-M-5/6,30m,male,0
lung,3-M-7/8,1m,female,0
lung,3-M-7/8,1m,male,0
lung,3-M-7/8,3m,female,0
lung,3-M-7/8,3m,male,1662
lung,3-M-7/8,18m,female,0
lung,3-M-7/8,18m,male,0
lung,3-M-7/8,21m,female,0
lung,3-M-7/8,21m,male,0
lung,3-M-7/8,30m,female,0
lung,3-M-7/8,30m,male,0
lung,18-F-50,1m,female,0
lung,18-F-50,1m,male,0
lung,18-F-50,3m,female,0
lung,18-F-50,3m,male,0
lung,18-F-50,18m,female,331
lung,18-F-50,18m,male,0
lung,18-F-50,21m,female,0
lung,18-F-50,21m,male,0
lung,18-F-50,30m,female,0
lung,18-F-50,30m,male,0
lung,18-F-51,1m,female,0
lung,18-F-51,1m,male,0
lung,18-F-51,3m,female,0
lung,18-F-51,3m,male,0
lung,18-F-51,18m,female,1159
lung,18-F-51,18m,male,0
lung,18-F-51,21m,female,0
lung,18-F-51,21m,male,0
lung,18-F-51,30m,female,0
lung,18-F-51,30m,male,0
lung,18-M-52,1m,female,0
lung,18-M-52,1m,male,0
lung,18-M-52,3m,female,0
lung,18-M-52,3m,male,0
lung,18-M-52,18m,female,0
lung,18-M-52,18m,male,1603
lung,18-M-52,21m,female,0
lung,18-M-52,21m,male,0
lung,18-M-52,30m,female,0
lung,18-M-52,30m,male,0
lung,18-M-53,1m,female,0
lung,18-M-53,1m,male,0
lung,18-M-53,3m,female,0
lung,18-M-53,3m,male,0
lung,18-M-53,18m,female,0
lung,18-M-53,18m,male,1283
lung,18-M-53,21m,female,0
lung,18-M-53,21m,male,0
lung,18-M-53,30m,female,0
lung,18-M-53,30m,male,0
lung,21-F-54,1m,female,0
lung,21-F-54,1m,male,0
lung,21-F-54,3m,female,0
lung,21-F-54,3m,male,0
lung,21-F-54,18m,female,0
lung,21-F-54,18m,male,0
lung,21-F-54,21m,female,1367
lung,21-F-54,21m,male,0
lung,21-F-54,30m,female,0
lung,21-F-54,30m,male,0
lung,21-F-55,1m,female,0
lung,21-F-55,1m,male,0
lung,21-F-55,3m,female,0
lung,21-F-55,3m,male,0
lung,21-F-55,18m,female,0
lung,21-F-55,18m,male,0
lung,21-F-55,21m,female,1584
lung,21-F-55,21m,male,0
lung,21-F-55,30m,female,0
lung,21-F-55,30m,male,0
lung,30-M-2,1m,female,0
lung,30-M-2,1m,male,0
lung,30-M-2,3m,female,0
lung,30-M-2,3m,male,0
lung,30-M-2,18m,female,0
lung,30-M-2,18m,male,0
lung,30-M-2,21m,female,0
lung,30-M-2,21m,male,0
lung,30-M-2,30m,female,0
lung,30-M-2,30m,male,8014
lung,30-M-3,1m,female,0
lung,30-M-3,1m,male,0
lung,30-M-3,3m,female,0
lung,30-M-3,3m,male,0
lung,30-M-3,18m,female,0
lung,30-M-3,18m,male,0
lung,30-M-3,21m,female,0
lung,30-M-3,21m,male,0
lung,30-M-3,30m,female,0
lung,30-M-3,30m,male,1638
lung,30-M-4,1m,female,0
lung,30-M-4,1m,male,0
lung,30-M-4,3m,female,0
lung,30-M-4,3m,male,0
lung,30-M-4,18m,female,0
lung,30-M-4,18m,male,0
lung,30-M-4,21m,female,0
lung,30-M-4,21m,male,0
lung,30-M-4,30m,female,0
lung,30-M-4,30m,male,936
lung,30-M-5,1m,female,0
lung,30-M-5,1m,male,0
lung,30-M-5,3m,female,0
lung,30-M-5,3m,male,0
lung,30-M-5,18m,female,0
lung,30-M-5,18m,male,0
lung,30-M-5,21m,female,0
lung,30-M-5,21m,male,0
lung,30-M-5,30m,female,0
lung,30-M-5,30m,male,505
marrow,1-M-62,1m,female,0
marrow,1-M-62,1m,male,1484
marrow,1-M-62,3m,female,0
marrow,1-M-62,3m,male,0
marrow,1-M-62,18m,female,0
marrow,1-M-62,18m,male,0
marrow,1-M-62,21m,female,0
marrow,1-M-62,21m,male,0
marrow,1-M-62,24m,female,0
marrow,1-M-62,24m,male,0
marrow,1-M-62,30m,female,0
marrow,1-M-62,30m,male,0
marrow,1-M-63,1m,female,0
marrow,1-M-63,1m,male,1543
marrow,1-M-63,3m,female,0
marrow,1-M-63,3m,male,0
marrow,1-M-63,18m,female,0
marrow,1-M-63,18m,male,0
marrow,1-M-63,21m,female,0
marrow,1-M-63,21m,male,0
marrow,1-M-63,24m,female,0
marrow,1-M-63,24m,male,0
marrow,1-M-63,30m,female,0
marrow,1-M-63,30m,male,0
marrow,3-F-56,1m,female,0
marrow,3-F-56,1m,male,0
marrow,3-F-56,3m,female,1645
marrow,3-F-56,3m,male,0
marrow,3-F-56,18m,female,0
marrow,3-F-56,18m,male,0
marrow,3-F-56,21m,female,0
marrow,3-F-56,21m,male,0
marrow,3-F-56,24m,female,0
marrow,3-F-56,24m,male,0
marrow,3-F-56,30m,female,0
marrow,3-F-56,30m,male,0
marrow,3-F-57,1m,female,0
marrow,3-F-57,1m,male,0
marrow,3-F-57,3m,female,1845
marrow,3-F-57,3m,male,0
marrow,3-F-57,18m,female,0
marrow,3-F-57,18m,male,0
marrow,3-F-57,21m,female,0
marrow,3-F-57,21m,male,0
marrow,3-F-57,24m,female,0
marrow,3-F-57,24m,male,0
marrow,3-F-57,30m,female,0
marrow,3-F-57,30m,male,0
marrow,18-F-50,1m,female,0
marrow,18-F-50,1m,male,0
marrow,18-F-50,3m,female,0
marrow,18-F-50,3m,male,0
marrow,18-F-50,18m,female,1368
marrow,18-F-50,18m,male,0
marrow,18-F-50,21m,female,0
marrow,18-F-50,21m,male,0
marrow,18-F-50,24m,female,0
marrow,18-F-50,24m,male,0
marrow,18-F-50,30m,female,0
marrow,18-F-50,30m,male,0
marrow,18-F-51,1m,female,0
marrow,18-F-51,1m,male,0
marrow,18-F-51,3m,female,0
marrow,18-F-51,3m,male,0
marrow,18-F-51,18m,female,1633
marrow,18-F-51,18m,male,0
marrow,18-F-51,21m,female,0
marrow,18-F-51,21m,male,0
marrow,18-F-51,24m,female,0
marrow,18-F-51,24m,male,0
marrow,18-F-51,30m,female,0
marrow,18-F-51,30m,male,0
marrow,18-M-52,1m,female,0
marrow,18-M-52,1m,male,0
marrow,18-M-52,3m,female,0
marrow,18-M-52,3m,male,0
marrow,18-M-52,18m,female,0
marrow,18-M-52,18m,male,2650
marrow,18-M-52,21m,female,0
marrow,18-M-52,21m,male,0
marrow,18-M-52,24m,female,0
marrow,18-M-52,24m,male,0
marrow,18-M-52,30m,female,0
marrow,18-M-52,30m,male,0
marrow,18-M-53,1m,female,0
marrow,18-M-53,1m,male,0
marrow,18-M-53,3m,female,0
marrow,18-M-53,3m,male,0
marrow,18-M-53,18m,female,0
marrow,18-M-53,18m,male,1061
marrow,18-M-53,21m,female,0
marrow,18-M-53,21m,male,0
marrow,18-M-53,24m,female,0
marrow,18-M-53,24m,male,0
marrow,18-M-53,30m,female,0
marrow,18-M-53,30m,male,0
marrow,21-F-54,1m,female,0
marrow,21-F-54,1m,male,0
marrow,21-F-54,3m,female,0
marrow,21-F-54,3m,male,0
marrow,21-F-54,18m,female,0
marrow,21-F-54,18m,male,0
marrow,21-F-54,21m,female,2641
marrow,21-F-54,21m,male,0
marrow,21-F-54,24m,female,0
marrow,21-F-54,24m,male,0
marrow,21-F-54,30m,female,0
marrow,21-F-54,30m,male,0
marrow,21-F-55,1m,female,0
marrow,21-F-55,1m,male,0
marrow,21-F-55,3m,female,0
marrow,21-F-55,3m,male,0
marrow,21-F-55,18m,female,0
marrow,21-F-55,18m,male,0
marrow,21-F-55,21m,female,2575
marrow,21-F-55,21m,male,0
marrow,21-F-55,24m,female,0
marrow,21-F-55,24m,male,0
marrow,21-F-55,30m,female,0
marrow,21-F-55,30m,male,0
marrow,24-M-58,1m,female,0
marrow,24-M-58,1m,male,0
marrow,24-M-58,3m,female,0
marrow,24-M-58,3m,male,0
marrow,24-M-58,18m,female,0
marrow,24-M-58,18m,male,0
marrow,24-M-58,21m,female,0
marrow,24-M-58,21m,male,0
marrow,24-M-58,24m,female,0
marrow,24-M-58,24m,male,2308
marrow,24-M-58,30m,female,0
marrow,24-M-58,30m,male,0
marrow,24-M-59,1m,female,0
marrow,24-M-59,1m,male,0
marrow,24-M-59,3m,female,0
marrow,24-M-59,3m,male,0
marrow,24-M-59,18m,female,0
marrow,24-M-59,18m,male,0
marrow,24-M-59,21m,female,0
marrow,24-M-59,21m,male,0
marrow,24-M-59,24m,female,0
marrow,24-M-59,24m,male,1529
marrow,24-M-59,30m,female,0
marrow,24-M-59,30m,male,0
marrow,24-M-60,1m,female,0
marrow,24-M-60,1m,male,0
marrow,24-M-60,3m,female,0
marrow,24-M-60,3m,male,0
marrow,24-M-60,18m,female,0
marrow,24-M-60,18m,male,0
marrow,24-M-60,21m,female,0
marrow,24-M-60,21m,male,0
marrow,24-M-60,24m,female,0
marrow,24-M-60,24m,male,2480
marrow,24-M-60,30m,female,0
marrow,24-M-60,30m,male,0
marrow,24-M-61,1m,female,0
marrow,24-M-61,1m,male,0
marrow,24-M-61,3m,female,0
marrow,24-M-61,3m,male,0
marrow,24-M-61,18m,female,0
marrow,24-M-61,18m,male,0
marrow,24-M-61,21m,female,0
marrow,24-M-61,21m,male,0
marrow,24-M-61,24m,female,0
marrow,24-M-61,24m,male,1962
marrow,24-M-61,30m,female,0
marrow,24-M-61,30m,male,0
marrow,30-M-2,1m,female,0
marrow,30-M-2,1m,male,0
marrow,30-M-2,3m,female,0
marrow,30-M-2,3m,male,0
marrow,30-M-2,18m,female,0
marrow,30-M-2,18m,male,0
marrow,30-M-2,21m,female,0
marrow,30-M-2,21m,male,0
marrow,30-M-2,24m,female,0
marrow,30-M-2,24m,male,0
marrow,30-M-2,30m,female,0
marrow,30-M-2,30m,male,7324
marrow,30-M-3,1m,female,0
marrow,30-M-3,1m,male,0
marrow,30-M-3,3m,female,0
marrow,30-M-3,3m,male,0
marrow,30-M-3,18m,female,0
marrow,30-M-3,18m,male,0
marrow,30-M-3,21m,female,0
marrow,30-M-3,21m,male,0
marrow,30-M-3,24m,female,0
marrow,30-M-3,24m,male,0
marrow,30-M-3,30m,female,0
marrow,30-M-3,30m,male,3166
marrow,30-M-5,1m,female,0
marrow,30-M-5,1m,male,0
marrow,30-M-5,3m,female,0
marrow,30-M-5,3m,male,0
marrow,30-M-5,18m,female,0
marrow,30-M-5,18m,male,0
marrow,30-M-5,21m,female,0
marrow,30-M-5,21m,male,0
marrow,30-M-5,24m,female,0
marrow,30-M-5,24m,male,0
marrow,30-M-5,30m,female,0
marrow,30-M-5,30m,male,3006
spleen,1-M-63,1m,female,0
spleen,1-M-63,1m,male,2986
spleen,1-M-63,3m,female,0
spleen,1-M-63,3m,male,0
spleen,1-M-63,18m,female,0
spleen,1-M-63,18m,male,0
spleen,1-M-63,21m,female,0
spleen,1-M-63,21m,male,0
spleen,1-M-63,24m,female,0
spleen,1-M-63,24m,male,0
spleen,1-M-63,30m,female,0
spleen,1-M-63,30m,male,0
spleen,3-F-56,1m,female,0
spleen,3-F-56,1m,male,0
spleen,3-F-56,3m,female,4644
spleen,3-F-56,3m,male,0
spleen,3-F-56,18m,female,0
spleen,3-F-56,18m,male,0
spleen,3-F-56,21m,female,0
spleen,3-F-56,21m,male,0
spleen,3-F-56,24m,female,0
spleen,3-F-56,24m,male,0
spleen,3-F-56,30m,female,0
spleen,3-F-56,30m,male,0
spleen,3-M-8,1m,female,0
spleen,3-M-8,1m,male,0
spleen,3-M-8,3m,female,0
spleen,3-M-8,3m,male,2493
spleen,3-M-8,18m,female,0
spleen,3-M-8,18m,male,0
spleen,3-M-8,21m,female,0
spleen,3-M-8,21m,male,0
spleen,3-M-8,24m,female,0
spleen,3-M-8,24m,male,0
spleen,3-M-8,30m,female,0
spleen,3-M-8,30m,male,0
spleen,18-F-50,1m,female,0
spleen,18-F-50,1m,male,0
spleen,18-F-50,3m,female,0
spleen,18-F-50,3m,male,0
spleen,18-F-50,18m,female,2943
spleen,18-F-50,18m,male,0
spleen,18-F-50,21m,female,0
spleen,18-F-50,21m,male,0
spleen,18-F-50,24m,female,0
spleen,18-F-50,24m,male,0
spleen,18-F-50,30m,female,0
spleen,18-F-50,30m,male,0
spleen,18-F-51,1m,female,0
spleen,18-F-51,1m,male,0
spleen,18-F-51,3m,female,0
spleen,18-F-51,3m,male,0
spleen,18-F-51,18m,female,3176
spleen,18-F-51,18m,male,0
spleen,18-F-51,21m,female,0
spleen,18-F-51,21m,male,0
spleen,18-F-51,24m,female,0
spleen,18-F-51,24m,male,0
spleen,18-F-51,30m,female,0
spleen,18-F-51,30m,male,0
spleen,21-F-54,1m,female,0
spleen,21-F-54,1m,male,0
spleen,21-F-54,3m,female,0
spleen,21-F-54,3m,male,0
spleen,21-F-54,18m,female,0
spleen,21-F-54,18m,male,0
spleen,21-F-54,21m,female,2955
spleen,21-F-54,21m,male,0
spleen,21-F-54,24m,female,0
