tissue,mouse_id,age_months,sex,n_cells
spleen/marrow,1-M-62,1m,male,276
spleen/marrow,1-M-63,1m,male,399
spleen/marrow,3-F-56,3m,female,586
spleen/marrow,3-F-57,3m,female,422
spleen/marrow,3-M-8,3m,male,106
spleen/marrow,18-F-50,18m,female,390
spleen/marrow,18-F-51,18m,female,534
spleen/marrow,18-M-52,18m,male,316
spleen/marrow,18-M-53,18m,male,114
spleen/marrow,21-F-54,21m,female,553
spleen/marrow,21-F-55,21m,female,449
spleen/marrow,24-M-58,24m,male,346
spleen/marrow,24-M-59,24m,male,512
spleen/marrow,24-M-60,24m,male,129
spleen/marrow,24-M-61,24m,male,175
spleen/marrow,30-M-2,30m,male,1211
spleen/marrow,30-M-3,30m,male,589
spleen/marrow,30-M-4,30m,male,135
spleen/marrow,30-M-5,30m,male,542
Fat,18-F-50,18m,female,609
Fat,18-M-52,18m,male,757
Fat,18-M-53,18m,male,252
Fat,21-F-54,21m,female,197
Fat,21-F-55,21m,female,243
Fat,30-M-5,30m,male,1310
Liver,1-M-62,1m,male,32
Liver,1-M-63,1m,male,1130
Liver,3-F-56,3m,female,22
Liver,3-F-57,3m,female,6
Liver,3-M-8/9,3m,male,5
Liver,18-F-51,18m,female,250
Liver,21-F-54,21m,female,41
Liver,24-M-58,24m,male,2
Liver,24-M-59,24m,male,24
Liver,30-M-3,30m,male,1611
Liver,30-M-4,30m,male,8
Liver,30-M-5,30m,male,129
Lung,1-M-62,1m,male,794
Lung,1-M-63,1m,male,1053
Lung,3-F-56,3m,female,249
Lung,3-F-57,3m,female,463
Lung,3-M-5/6,3m,male,457
Lung,3-M-7/8,3m,male,1327
Lung,18-F-50,18m,female,159
Lung,18-F-51,18m,female,646
Lung,18-M-52,18m,male,992
Lung,18-M-53,18m,male,813
Lung,21-F-54,21m,female,697
Lung,21-F-55,21m,female,839
Lung,30-M-2,30m,male,7963
Lung,30-M-3,30m,male,1057
Lung,30-M-4,30m,male,538
Lung,30-M-5,30m,male,287
Kidney,1-M-62,1m,male,50
Kidney,1-M-63,1m,male,68
Kidney,3-F-57,3m,female,96
Kidney,3-M-8,3m,male,45
Kidney,3-M-9,3m,male,92
Kidney,18-F-50,18m,female,58
Kidney,18-F-51,18m,female,115
Kidney,18-M-52,18m,male,147
Kidney,21-F-54,21m,female,80
Kidney,21-F-55,21m,female,50
Kidney,24-M-58,24m,male,69
Kidney,24-M-59,24m,male,215
Kidney,30-M-2,30m,male,247
Kidney,30-M-3,30m,male,187
Kidney,30-M-4,30m,male,143
Kidney,30-M-5,30m,male,67
Heart_and_Aorta,1-M-63,1m,male,738
Heart_and_Aorta,3-F-56,3m,female,360
Heart_and_Aorta,18-F-50,18m,female,387
Heart_and_Aorta,18-M-52,18m,male,192
Heart_and_Aorta,18-M-53,18m,male,167
Heart_and_Aorta,21-F-54,21m,female,268
Heart_and_Aorta,21-F-55,21m,female,310
Heart_and_Aorta,24-M-58,24m,male,251
Heart_and_Aorta,24-M-59,24m,male,278
Heart_and_Aorta,30-M-2,30m,male,3073
Heart_and_Aorta,30-M-3,30m,male,114
