mouse.id,before,after,removed
1-M-62,1152,1054,98
1-M-63,3388,3138,250
3-F-56,1217,1064,153
3-F-57,987,852,135
3-M-5/6,457,387,70
3-M-7/8,1327,1065,262
3-M-8,151,99,52
3-M-8/9,5,5,0
3-M-9,92,45,47
18-F-50,1603,1498,105
18-F-51,1545,1317,228
18-M-52,2404,2029,375
18-M-53,1346,1223,123
21-F-54,1836,1597,239
21-F-55,1891,1679,212
24-M-58,668,579,89
24-M-59,1029,850,179
24-M-60,129,110,19
24-M-61,175,140,35
30-M-2,12494,11064,1430
30-M-3,3558,2440,1118
30-M-4,824,657,167
30-M-5,2335,2136,199
